부스번호,업체명,특별관,카테고리,id,company_name_eng,homepage,company_description,products,products_description,category
B5707,맛사랑,,일반식품,518,MSR CORPORATION,msrfood.com,"김과자, 조미김을 생산하는 식품제조업체로 대형마트, 여러 제조유통회사와 협력하여 제품을 개발하고 있습니다.",김고소아,밀가루 베이스의 반죽 양면에 국내산 김을 붙여 튀겨낸 후 달콤한 시즈닝을 입혀 만든 과자,"간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
B2310,주식회사 에브리데이즈코리아,,일반식품,472,"EVERYDAZE KOREA Co., Ltd.",www.everydaze.com,"**EVERYDAZE(에브리데이즈)**는 ‘매일의 일상 속에서 건강과 아름다움을 쉽게 실천할 수 있도록’ 돕는 글로벌 웰니스 브랜드입니다. 뉴욕에 본사를 두고 있으며, 미국을 중심으로 독일, 호주, 뉴질랜드 등지의 고객들에게 호평을 받으며 빠르게 성장하고 있습니다. 대표 제품으로는 곤약젤리, 콤부차, 비건 콜라겐 젤리스틱이 있으며, 모두 저칼로리·비건·무설탕·글루텐프리라는 기준을 고수하며, 현대 소비자들의 니즈에 맞춘 맛있고 기능성 있는 이너뷰티 간식을 제공합니다.

에브리데이즈는 단순히 건강식을 판매하는 브랜드가 아니라, ‘간편함’, ‘맛’, ‘기능성’을 모두 잡은 새로운 이너뷰티 문화를 제안합니다. 곤약젤리는 포만감과 함께 피부 건강까지 챙길 수 있도록 식물성 콜라겐과 비타민C를 담았고, 콤부차는 10억 마리의 유산균으로 장 건강을 케어합니다. 젤리스틱은 하루 3,000mg 고함량 콜라겐을 스틱 하나에 담아 바쁜 일상 속에서도 아름다움을 간편하게 채울 수 있도록 설계되었습니다.

우리는 사람들이 건강을 ‘챙겨야 할 과제’가 아니라, ‘즐기고 싶은 습관’으로 받아들이도록 만드는 브랜드를 지향합니다. EVERYDAZE는 오늘도 전 세계 고객들이 ‘매일을 기분 좋게’ 시작할 수 있도록, 감각적이면서도 과학적인 웰니스 솔루션을 제안하고 있습니다.",콜라겐 젤리스틱,"3,000mg의 고함량 비건 콜라겐과 비타민 C를 함유해 피부 탄력, 모발·손톱 건강까지 챙기는 이너뷰티 젤리. 스틱형으로 휴대가 간편하며, 언제 어디서나 맛있게 섭취할 수 있습니다.","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
B5405,르꼬르동블루코리아 주식회사,,일반식품,480,Le Cordon Bleu Korea,https://www.cordonbleu.edu/korea/home/ko,130년 전통의 세계적인 요리 교육기관입니다.,르 꼬르동 블루 교육 프로그램 ,"르 꼬르동 블루 코리아는 전 세계 약 20개국 35개 캠퍼스(파리, 런던, 마드리드, 호주, 오타와, 뉴질랜드, 태국, 말레이시아, 서울 등)의 글로벌 요리·제과 교육 프로그램과 최신 입학 정보를 안내하며, 현장에서 1:1 입학 상담을 제공합니다.",
B4708,소백인삼영농조합법인,,일반식품,467,SOBAEK INSAM FARMING ASSOCIATION,hsscshop.co.kr/,"고객과의약속을 책임지는,신뢰의기업을 실천합니다. 1997년,창립후 “국민 건강을 위한 최고의 제품을 생산하자!” 라는 슬로건 아래, 원료의 직접 경작 및 인삼·홍삼제품의생산,수출등으로 인삼산업전반에걸쳐 신뢰의기업으로 거듭나고 있습니다. “국민 건강에 기여하는 최고의 기업이 되자”는 신념으로 최고의기업, 최고의제품으로, 최선을 다하여 소비자 건강을 지킬 것을 약속드립니다.",홍삼절편 홍삼정과,홍삼을 꿀에 72시간 이상 당침하여 맛이 조화롭고 향기롭습니다,"건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
B2308,삼주티앤비(주),,일반식품,466,SAMJOO T&B,www.teabreak.co.kr,"삼주 티앤비(주)는 차(Tea) 전문 기업으로 아마드티와 테일러 오브 헤로게이트등 수입 브랜드와 자체 브랜드인 베티나르디를 보유하고 있으며 침출차,액상차,고형차등을 판매하고 있는 업체입니다.",캐모마일 포멜로 티 베이스,차원료 원물을 추출하여 차(茶) 본연의 맛을 살린 액상베이스로 안정적이고 균일한 맛으로 누구나 손쉽게 다양한 음료를 만들 수 있습니다,"음료 (커피, 차, 주스, 탄산음료, 에너지 드링크, 이온음료 외)"
B5505,주식회사 스탁키퍼,고메,일반식품,120,Stockeeper Co. ltd,www.bankcow.co.kr,"국내유일 가축투자플랫폼, 뱅카우",뱅카우,"가축투자플랫폼, 뱅카우","스마트 농업 (농업 자동화 기계/로봇, 첨단 재배기술, 환경관리 장비, 농장 데이터 관리분석 솔루션 외)"
B3611,무지개영농조합법인,,일반식품,473,Rain Bow Farming a sso Ciatiom Act,www.doomari.com,"임실치즈마을은 산중에 아주 작은 시골마을입니다. 1966년 가난한 임실 사람들을 위해 벨기에 출신의 지정환 신부님께서는 두 마리의 산양을 키우기 시작했습니다. 그후로 40여년간 이끌어주시는 선구자 분들과 주민들의 꾸준한 눈물과 노력으로 지금의 치즈마을이 만들어졌습니다. 임실치즈마을에 있는 <두마리목장>은 이러한 지정환신부님의 뜻을 이어가고자 두 마리의 산양으로 목장을 시작하였습니다. 그래서 목장이름도 <두마리목장>이 되었습니다. <두마리목장>에서 자라는 산양과 젖소의 신선한 우유는 정성스럽고 엄격하게 요거트와 치즈로 만들어지고 있습니다. 품질 좋은 신선한 요거트와 치즈를 원하신다면 <두마리목장>을 찾아주십시오. 지정환신부님이 마을사람들을 사랑하는 마음으로 시작했던 것처럼 두마리목장을 찾아주시는 모든 분을 사랑하는 마음으로 준비하겠습니다.
",임실구워먹는 할루미치즈,"1. 매일 목장에서 갓 짠 우유로 당일 만드는 수제 자연 치즈는 녹는다는 틀을 깨고 노릇하게 구워먹을 때 가장 맛있는 쫄깃 고소한 치즈
직영목장 운영 전제품 무항생제 원유사용 신선하고 안전한 임실치즈","고메/스페셜티 (치즈/유제품, 시즈닝/소스류, 육가공/건조육, 견과류/건조과일, 파티푸드/선물세트, 프리미엄 푸드 브랜드 외)"
S1305,아침마루와이너리,주류라운지,일반식품,453,Achimmaru Winery,http://www.amaroum.com,경기도 가평군 운악산 자락에 위치한 아침마루와이너리는 지역에서 생산되는 농산물을 원재료로 사용하여 와인을 생산하고 있는 농가와이너리입니다.  운악산 계곡은 일교차가 커서 당도 높은 과일이 생산되고 있으며 이런 과일로 만든 와인은 과일향이 풍부하고 부드러운 산미와 가볍고 깔끔한 것이 특징입니다. 한국인의 입맛에 맞는 와인을 개발생산하고 있습니다. ,아마로움,아마로움은 과일향이 풍부하여 아로마가 좋고 균형잡힌 4미의 맛과 적절한 바디감으로 한국음식과 잘 어울린다.,"주류 (전통주, 맥주, 포도주, 위스키, 칵테일, RTD, 저/무알콜 외)"
S1001,농업회사법인 주식회사 백경증류소,주류라운지,일반식품,452,BAEKKYUNG DISTILLERY,www.bk-distillery.com,백경증류소는 전통과 혁신을 잇는 프리미엄 전통주 브랜드입니다.,백경15,"백경15는 국내산 쌀과 직접 만든 누룩으로 빚어 15도까지 저온 숙성한 프리미엄 약주입니다.
맑고 은은한 곡물 향과 산뜻한 산미, 깊은 감칠맛이 조화를 이루며, 한식과 서양식 모두에 잘 어울립니다.","주류 (전통주, 맥주, 포도주, 위스키, 칵테일, RTD, 저/무알콜 외)"
A3101,농업회사법인(주)영풍,,일반식품,460,농업회사법인(주)영풍,www.ypfoods.co.kr/,"농업회사법인㈜영풍은 누구나 간편하게 즐길 수 있는 제품, 우리 음식 고유의 맛과 정성을 세계에 전하기 위해 노력하는 회사입니다. 한국의 대표적 먹거리인 떡볶이, 부침개, 라볶이 등을 간편식품화하여 현재까지 전 세계 70여 개국에 수출 중입니다. 또한 HACCP, FSSC22000, ISO 22000, 미 FDA, HALAL, 글루텐 프리 등 국제적인 인증 제도를 취득하였습니다.",요뽀끼 떡볶이,"‘요뽀끼’ 는 한 입 크기의 쫄깃한 쌀떡과 특색 있는 소스가 잘 조화된 간편식 떡볶이입니다. 당사만의 특허 기술을 통해 쌀떡의 식감을 살리고, 상온에서 1년간 보관이 가능합니다. 전자레인지에서 2~3분이면 간편하게 조리가 가능한 제품이기 때문에 남녀노소 모두가 쉽게 떡볶이를 즐길 수 있습니다. 또한, 다양한 맛 (매콤, 치즈, 화끈, 짜장, 어니언버터, 로제, 매콤까르보나라 등) 으로 구성되어 골라 먹는 재미가 있습니다.","간편식품 (HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
B6010,(주)이노파마스크린,,일반식품,451,InnoPharmaScreen Inc.,www.innopharmascreen.com,"이노파마스크린(IPS)는 신약개발 및 건강기능성식품 개발 전문 바이오텍 기업이다. 당사는 신약개발 플랫폼 기술을 보유하고 있고 이 기술을 통해 항암제등 신약을 개발하고 있다. 또한 이 플랫폼 기술을 응용하여 건강기능성식품의 기능성원료를 개발하였고 최근 출시된 제품은 스트레스로 인한 긴장완화, 면역증강,신경과근육기능 유지에 도움을 주는 건강기능성식품으로 브랜드명은 ""오프스트레스""  이다. ",OFF STRESS 오프스트레스,"스트레스로 인한 긴장완화와 면역증강,신경과근육기능 유지에 도움을 주는 건강기능성식품으로 주재료는 마그네슘(Mg) , 아연(Zn), L-테아닌(L-Theanine),으로 구성된 3종포뮬러 제품이고 
부재료에 자사 특허출원원료인 IPS-GME를 포함하고 있다. 이 제품은 스트레스가 많고 수면장애가 있는 직장인, 수험생, 갱년기 남성 및 여성 등 모든 현대인등에게 유용한 건강기능성식품이다. ","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
B5304,(주)아이엔비솔루션즈,,일반식품,445,Inno NutriBio corp.,www.innoenbio.com,"㈜ 아이엔비솔루션즈는 전북연구특구 및 전북혁신도시 내에 위치한 연구소기업으로서,
국산 농축수산 자원을 바탕으로 한 농생명 바이오 기술의 연구 개발 및 사업화,
자원재활용과 대체식품 신기술 개발에 주력하고 있는 푸드테크 기업 입니다.","나트륨,당류 저감 제품",나트륨  또는 당류 가 저감된 제품,"간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
B1005,(주)삼일,,일반식품,443,SAMIL.INC,31store.kr,"신선한 수산 건어물을 더욱 저렴하고, 위생적으로 제공하기 위해 직접 제조,유통,판매까지 이어지는 통합판매시스템을 구축하여 소비자에게 공급하는 신개념 건어물 브랜드입니다.",건어물 베이커리 & 스낵,"별도로 굽는 과정없이 빵처럼 부드럽게 먹을수 있도록 특허받은 '로스팅&롤링' 기법으로 만든 구운 건어물(오징어,쥐포,노가리 등)베이커리 상품과 낙지와 어육을 섞어서 만든 신개념 건어물 스낵인 낙지롱칩","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
B3607,농업회사법인 주식회사 천우당,,일반식품,425,CHUNWOODANG,smartstore.naver.com/chunwoodang,"천우당은 충청남도 당진시에서 1976년부터 운영된 방앗간의 전통을 잇고 들깨를 이용한 고부가가치 제품을 연구·개발하는 기업입니다. 또한 예비사회적기업으로 지정되어 일자리 창출 및 이익환원에 힘쓰고 있습니다.

23년 7월 생들기름이 함유된 식물성 OMEGA-3 젤리스틱을 출시 및 10월 '생들기름을 함유한 스틱형 젤리 및 그 제조방법(10-2023-0134310)' 특허를 출원하였습니다.
24년 식물성 오메가3 젤리스틱 석류맛을 출시하여 선택의 폭을 넓혔으며 점차 확대해갈 예정입니다.

현재 순천향대학교, 호서대학교, 선문대학교와 가족기업 협약을 체결하고 산학협력 관계를 유지하고 있으며 점차 제품군 및 농산물 종류를 확대하여 내수 및 수출기업으로 성장할 목표를 가지고 있습니다. ",식물성 OMEGA-3 젤리스틱,"생들기름 속 풍부한 오메가3를 한 포에 담은 '식물성 OMEGA-3 젤리스틱'
들깨 속 풍부한 필수지방산 알파-리놀렌산을 그대로 담았으며 1포에 오메가3 600mg 이상 함유되어 하루 1~2포로 충분히 건강을 챙길 수 있습니다. 오렌지&망고, 석류 농축액이 들어있어 생들기름의 비린 맛 없이 섭취할 수 있고 스틱형태로 되어있어 간편하게 먹을 수 있습니다.","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
A4607,주식회사 유토피아간장게장,,일반식품,439,"UTOPIA GANJANGGEJANG Co., Ltd.",https://smartstore.naver.com/utopiagange,"유토피아(Utopia)는 이상형을 의미합니다. 유토피아 간장게장은 단순히 맛있고 질 좋은 간장게장을 제공하는 것에 그치지 않고 모두의 입맛과 가치를 만족시키는 간장게장의 이상향을 지향합니다. 그 시작은 대표자 본인이 간장게장을 잘 먹지 못했다는 데서 비롯되었습니다. 간장게장 특유의 비린 맛을 부담스러워했던 저는 30년 경력의 쉐프님이 만든 특별한 간장게장을 통해 새로운 가능성을 발견했습니다. 이 간장게장은 부드럽고 비린 맛이 없이도 간장게장의 풍미와 감칠맛을 잘 구현하여 간장게장을 좋아하는사람은 물론 그렇지 않은 사람까지 모두를 만족시킬 수 있었습니다. 
시중에 나와 있는 간장게장을 좋아하는 사람은 물론 그렇지 않은 사람까지 모두를 만족시킬 수 있었습니다. ",유토피아간장게장,"유토피아 간장게장은 제주도와 남해안 청정지역에서만 잡히는 귀한 식재료 '황게'와 30년 경력 쉐프님이 직접 만든 유토피아 특제 비법 간장소스로 만들어졌습니다. 일반 꽃게로 만들어진 간장게장보다 껍질이 얇아 한 층 더 부드럽고, 불필요한 중량을차지하는 등껍질과 다리 끝부분은 과감하게 제거한 상태로 HACCP 인증 시설에서 제조하여 같은 무게 기준 유토피아간장게장에 많은 양의 게살이 들어있습니다.","반찬류 (김치류, 젓갈류, 장류, 김, 절임/무침 외)"
B2501,화이트스페이스,,일반식품,471,whitespace,https://neoul.store/,"달리고, 회복하고, 반복하라
리커버리 전문 스포츠 브랜드 
너울(NEOUL)",트리드 리커버리 부스터 샷,"리포좀 아르기닌 | 리포좀 커큐민 | 리포좀 비타민
흡수율을 높인 국내 유일 트리플 리포좀 리커버리 드링크 '트리드'","음료 (커피, 차, 주스, 탄산음료, 에너지 드링크, 이온음료 외)"
S1104,와인브라더스 인터내셔널,주류라운지,일반식품,429,WINE BROTHERS INTERNATIONAL,https://winebrothersint.mycafe24.com/,이탈리아 럭셔리 와인 컬렉션,젬마디루나,2025 대한민국 주류대상 대상 모스카토,"수입 음료/주류 (수입 커피, 차, 주스, 탄산음료, 에너지 드링크, 각종 주류 외)"
B3709,아이리스 코리아,,일반식품,418,IRIS KOREA,https://www.iriskorea.co.kr/,"아이리스코리아는 일본 종합생활용품 브랜드 **아이리스오야마(IRIS OHYAMA)**의 한국 법인으로, 양국 간의 식품 및 생활 소비재 교류를 확대하는 것을 목표로 다양한 유통 채널을 통해 고품질 일본 제품을 국내에 소개하고 있습니다.

이번 코엑스 푸드위크 2025에서는 아이리스오야마가 일본 현지에서 개발 및 제조한 엄선된 식품 라인업을 선보입니다. 품질과 안전성을 최우선으로 하는 아이리스오야마의 철학이 반영된 제품들을 통해, 한국 소비자들에게 새로운 맛과 경험을 전달하고자 합니다.",아이리스 탄산수,"무향/플레이버 선택 가능: 기본 무향 외에도 레몬, 자몽 등 다양한 맛이 있음
칼로리 제로: 설탕이나 감미료가 첨가되지 않아 다이어트용으로도 적합
강탄산: 일반 탄산수보다 탄산이 강해 청량감이 높음
PET 용기: 가정이나 사무실에서 간편하게 마실 수 있도록 패키징되어 있음
드러그스토어 및 마트 중심 판매: 일본 전국 대형 유통망에서 유통 중","음료 (커피, 차, 주스, 탄산음료, 에너지 드링크, 이온음료 외)"
S1103,"농업회사법인 부즈앤버즈 미더리(주)
",주류라운지,일반식품,416,Booze & Buzz Meadery Inc.,www.bzbzzmeadery.com,"부즈앤버즈는 꿀을 발효시킨 주종 미드(MEAD)를 만드는 미더리로. 8000년의 오랜 역사를 가진 미드를 동시대적으로 재해석합니다. 미드 강국 유럽, 미국 등의 본토 대회에서 여러 차례 수상하며 실력을 인정받았으며 한국을 넘어 세계의 모든 사람이 함께 즐길 수 있는 미드를 연구합니다. ",시작 (Sijak),"풍부한 야생화 향과 상쾌한 탄산감이 봄날의 바람과 같은 시작.
망고, 패션 후르츠와 같은 열대과일의 달콤함과 향기로운 벌꿀향을 마데이라 오크통에서 담아낸 트래디셔널 미드입니다.","주류 (전통주, 맥주, 포도주, 위스키, 칵테일, RTD, 저/무알콜 외)"
A2608,주식회사 농수축산신문,,일반식품,427,aflnews,www.ihanwoo.org/,한우산업의 발전과 새로운 도약을 선도하는 한우산업 구심체,한우,"한우는 5천년 우리 민족과 함께 해 온 동반자이자 중요한 가축으로서 
2006년 문화관광부에서 지정한 100대 민족문화상징으로 선정되었습니다.","신선식품 (과일, 채소, 축산, 수산 원물)"
A1117,주식회사 그래미,,일반식품,474,"GLAMI CO.,LTD.",www.glami.com,"21세기 토탈헬스케어 기업으로 인류 생명연장의 꿈을 실현하는 것이 궁극적인 목표인 주식회사 그래미는 국내 및 해외에서 특허 받은 제품인 “여명808”을 비롯, 발명특허품을 제조·판매하는 회사로 강력한 경쟁력인 발명 특허를 기반으로 세계 인류의 건강문화를 추구하는 세계 속에 한국을 알리는 대표적인 기업입니다. 제43회 발명의 날 금탑산업훈장을 수훈하며 명실공히 대한민국 최고의 특허 전문기업으로 확고히 자리 잡았습니다.",여명808,여명808,"일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
B5306,농업회사법인 주식회사 투마루,,일반식품,458,"Tomaru Co., Ltd.",www.marustore.kr,"“땅에서 자란 것을 새롭게!”

투마루는 자연에서 온 원재료에 제과 명인의 노하우와 현대적인 기술을 더해, 전통과 혁신이 어우러진 프리미엄 디저트를 선보이는 브랜드입니다.

특허 제빵 기술로 언제 어디서나 갓 구운 듯한 풍미를 간편하게 즐길 수 있으며, 대표 제품인 ‘호두먹빵’은 고소한 맛과 부드러운 식감으로 100만개 이상 판매되며 큰 사랑을 받고 있습니다.

투마루의 디저트는 단순한 간식을 넘어, 일상의 순간을 특별하게 만드는 한입의 즐거움입니다.

",호두먹빵 – 100만개 이상 판매된 프리미엄 디저트,"겉은 바삭, 속은 촉촉.

100만 개 이상 판매된 국민 디저트 ‘호두먹빵’은 특허 제빵 기술로 갓 구운 듯한 풍미를 그대로 살린 프리미엄 냉동 베이커리입니다.

국산 호두의 고소함과 부드러운 앙금의 조화, 전자레인지 30초 또는 에어프라이어 180℃ 4분이면 집에서도 간편하게 완성되는 ‘홈카페 디저트의 정석’.

선물, 카페 납품, 프리미엄 간식으로 모두에게 사랑받는 TOMARU의 시그니처 제품입니다.

","디저트/베이커리 (케이크, 푸딩, 빵/제과류, 초콜릿, 요거트/유제품 외)"
B5309,(주)케이첩,,일반식품,449,Kchup Corporation ,www.kchup.co.kr,"케이첩 고추장 핫소스, 쌈싸라 쌈장은 7년 연속 미쉐린 가이드 서울에 선정된 Korea BBQ 텅앤 그루브 조인트, 5년 연속 미쉐린 가이드 서울에 선정된 장요리 전문점 달식탁의  유지영 대표가 한식에 대한 애정으로 개발하게 된 한국 장소스입니다. 
순창 고추장 기능보유자 16호를 어머니로 둔 유대표는 전통장에 대한 높은 이해도와 관심으로 오랫동안 동시대의 한국 장 소스를 준비하였습니다. 
치우침 없는 한국의 장 소스를 
세계인이 경험하고 찾게 되길 바랍니다. 
",케이첩 고추장 핫소스,동시대의 현대인이 사용하기 편리하게 만든 고추장 소스 ,"조미식품 (향신료, 분말/팩, 양념/소스, 페이스트, 오일, 식초 외)"
A6507,주식회사 청유국제,,일반식품,442,CHENGYOU INTERNATIONAL.CORP,www.chengyouinternational.com,"연근모양분모자와 가위바위보뉴진면을 비롯하여, 다양한 분모자 디자인, 기술, 특허를 보유하고 있습니다. ",연근모양분모자,연근모양의 분모자로 모양도 맛도 이쁜 인기많은 분모자입니다. ,"일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
A5401,(주)정식품,,일반식품,410,Dr. Chung's Food,www.vegemil.co.kr,"대한민국 두유 시장 점유율 1위 브랜드 '베지밀'을 기반으로, 특수의료용도식품 브랜드 '그린비아', 콩국물 및 채소육수 브랜드 '간단요리사' 등 다양한 식품 카테고리로 영영을 확장해 나가고 있으며, 더 나아가 인류의 건강한 미래를 지향하는 Global 종합식품기업으로 지속적인 도약을 이어가고 있습니다.",그린비아 '영양 케어' ,식사 및 간식 대용으로 균형 잡힌 영양 관리를 위한 완전균형 영양식,"케어푸드 (고령친화식품, 환자식, 요양식, 특수영양식 외)"
B2401,주식회사 아디즈,,일반식품,404,atease,atease.kr,"아디즈(At ease)는 비피더스 포스트바이오틱스를 비롯 자연에서 유래하는 건강한 제품 개발을 전문으로 하는 혁신적인 건강 기업입니다.
신뢰와 혁신을 바탕으로, 아디즈는 고객들에게 건강한을 선도하는 다양한 솔루션을 제공합니다.
비피더스 포스트바이오틱스는 장 건강을 증진시키고 면역력을 강화하는 데 도움을 주는 중요한 성분으로, 디즈는 이를 활용한 제품 개발을 통해 건강한 일상을 만들어 가는데 기여하고 있습니다.
고객과의 협력은 아디즈의 핵심 가치로, 더 나은 제품을 만들어가는 데 함께하고 있습니다. 아디즈는 지속 가능한 성장을 추구하며 환경과 사회에 긍정적인 영향을 미치는 방향으로 나아가고 있으며, 앞으로도 혁신적이고 신뢰할 수 있는 제품을 통해 고객과 함께 성장하며, 건강한 미래를 만들어 나갈 것입니다.",아디즈 이너스비 비피더스 포스트바이오틱스,"아디즈 비피더스 포스트바이오틱스 CFS는 차세대 유산균으로 주목받는 포스트바이오틱스(Postbiotics)를 활용한 프리미엄 음료 파우더 제품입니다.
유아 유래 100% 비피더스균에서 유래한 포스트바이오틱스 310mg과 프리미엄 식이섬유 난소화성말토덱스트린 1,690mg을 결합한 4세대 유산균으로
장 건강 효과를 극대화한 차별화된 올인원 이너뷰티 솔루션을 제공합니다.
아디즈는 유산균이 만들어낸 유익한 대사산물인 '포스트바이오틱스'를 함유하고 있습니다.
이는 대장에서 흡수될 때 가장 효과적으로 작용하며, 대장은 우리 몸이 수분과 영양소를 흡수하는 중요한 기관입니다.
아디는 스트바이오틱스가 대장까지 보다 효과적으로 도달할 수 있도록 음료 파우더 형태로 개발되었습니다.
물과 함께 섭취하면 자연스럽게 대장으로 전달되어 최적의 흡수 및 효능을 발휘할 수 있도록 설계된 제품입니다.","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
B5205,에이치9 인터내셔널,,일반식품,402,H9 INTERNATIONAL,h9int.com,"H9 인터내셔널은 곡물과 쌀을 기반으로 한 식품기계 및 라이스칩 제품을 개발·제조·판매하는 기업입니다. 대표 제품인 라이스칩 기계는 국내 특허와 유럽 CE 인증을 보유하고 있으며, 유탕처리 없이 통곡물을 열과 압력으로 가공하는 친환경 공법으로 차별화된 기술력을 갖추고 있습니다. 국내외 전시회를 통해 꾸준히 글로벌 시장을 확대하고 있으며, 최근에는 협력사를 통해 현미 라이스칩을 OEM으로 생산하여 해외 판매를 위한 패키지와 선물박스를 준비하는 등 기계부터 레시피, 브랜드까지 아우르는 통합 식품 솔루션 기업으로 성장하고 있습니다.",라이스칩 현,"현미 라이스칩은 100% 국내산 현미로 만든 글루텐프리 곡물스낵으로, 기름에 튀기지 않고 열과 압력으로 구워 더욱 바삭하고 담백합니다. 첨가물 없이 건강한 맛을 살렸으며, 간식은 물론 요거트 토핑이나 치즈·잼과 곁들여 즐기면 더욱 맛있습니다. 아이부터 어른까지 안심하고 즐길 수 있는 영양 간식입니다.","간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
B2502,아침 주식회사,,일반식품,399,"Achim Co., Ltd.",https://www.achim.co.kr/,"당사는 실온 HMR 기업으로, HACCP 인증 보유 자체 공장에서 농/축/수산물 개별 살균 제품을 생산하고 있습니다. 
최고 품질의 식품 개발 기술로 국내 및 해외의 간편식 시장을 선도하며 급성장 하고 있는 혁신 기업 아침 주식회사 입니다.",아침) 집밥 아침밥 210g,"1. 품질
 - 쌀 100%(기타 첨가물 無)으로, 고온고압 제조방식으로 집 밥의 맛 그대로를 구현함. 
 - 전자렌지로 1개당 1분30초 가동 또는 끓는 물에 10분 후 바로 취식이 가능함.
 2. 보관
 - 상온상태로 소비기한 최대 1년까지 보관이 가능함.
 3. 기술력
 -  FSSC 22000 국제 시스템 인증 / HACCP 인증","수입 간편식품 (수입 HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
B1109,농업회사법인 조은제과 주식회사,,일반식품,394,Agricultural Corp. Very Good Food,vgfood.co.kr,"조은제과는 HACCP 및 FSSC22000 인증을 받은 믿을 수 있는 제조공정으로 누룽지, 쌀과자 등 전통 곡물 간식을 생산하는 전문 기업입니다.
바삭한톨 브랜드를 통해 건강하고 맛있는 간식을 고객에게 제공합니다.
국내에서 직접 생산해 더 정직하고 신뢰할 수 있습니다.
고소하고 바삭한 즐거움을 지금 만나보세요.",쌀강정,"전통의 바삭함과 자연의 달콤함을 담은 쌀강정은 기름 없이 뻥튀긴 쌀에 조청과 식물성 한천을 더해 만든 건강한 전통 간식입니다. 가볍고 고소한 식감과 은은한 단맛으로 남녀노소 누구나 부담 없이 즐길 수 있으며, 간편한 포장으로 언제 어디서나 즐기기 좋습니다. HACCP 및 FSSC22000 인증시설에서 제조되어 안전한 품질을 자랑하며, 스틱형·바이트형·개별포장 등 다양한 형태로 생산이 가능합니다. 녹차, 시나몬, 치즈 등 다양한 맛의 베리에이션도 준비되어 있습니다.","간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
A4304,재단법인 전주농생명소재연구원,,일반식품,424,Jeonju Agrobio-Materials Institute,www.jami.re.kr/,농생명 소재의 산업화 연구개발로 국가와 지역경제 활성화에 기여하는 전주시 출연 연구기관,전주시 출연기관,"전주시 출연기관으로 전주시지역의 농생명 기업과의 협업을 통해 식품, 건강기능성식품, 화장품등의 소재를 개발하고 이를 사업화하고 있음","가정용 일반 주방가전  (가정용 믹서기, 멀티포트, 커피머신, 간식메이커, 전동 그라인더 외)"
B4403,케이씨인터내셔널,,일반식품,380,KC International,http://kcinternational.co.kr/index.html,"㈜케이씨인터내셔널은 맛밤 전문 제조기업으로, 국내산 및 수입산 밤을 활용한 다양한 간편 먹거리 제품을 생산하고 있습니다.
대표 제품인 ‘달달맛밤’을 비롯하여, 고품질의 밤을 바탕으로 한 스낵류를 개발·유통하고 있으며,
OEM·PB 생산부터 국내 대형 유통망 공급, 해외 수출까지 폭넓은 사업을 전개하고 있습니다.

안전하고 맛있는 먹거리를 소비자에게 전달하기 위해 위생적인 생산시설과 철저한 품질관리를 기반으로
꾸준한 R&D와 제품 다변화를 통해 간편한 건강 간식 시장을 선도해 나가고 있습니다.",달달맛밤,"‘달달맛밤’은 특산 품종의 고품질 약단밤을 사용하여, 당을 따로 첨가하지 않아도 밤 본연의 달콤함과 부드러운 식감을 그대로 즐길 수 있는 프리미엄 건강 간식입니다.
간편하게 섭취할 수 있어 남녀노소 누구나 부담 없이 즐길 수 있으며, 맛과 품질 모두를 만족시키는 대표 제품입니다.

이번 박람회에는 신제품인 **‘메이플 시럽 달달맛밤’**도 함께 선보일 예정입니다.
천연 메이플 시럽을 첨가해 은은하고 깊은 단맛을 살렸으며, 해당 제품은 현재 국내에서 저희 KC인터내셔널만이 단독으로 판매하고 있는 유일한 제품입니다.","수입 간편식품 (수입 HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
A2209,바라무역,,일반식품,387,Bara trading,WWW.BARA.KR,"바라무역은 2000년에 설립된 무역 회사로, 중국, 인도, 유럽산 식자재를 국내 식품업체에 납품하고 있습니다.",참깨,햄버거번 위에 올라가는 참깨입니다.,
